src_id,tag_id
产后甲状腺炎,豆腐海带汤
人为性皮炎,香菇炒菜花
跖疣,清汤白菜卷
老年癌症病人的急性感染,西芹芦荟
颈部水囊瘤,花生杏仁粥
麻黄碱中毒,冬瓜草鱼汤
肺大泡,冬瓜粒杂锦汤
食管癌,芝麻桃仁粥
风疹,生菜鸡丝
小儿单纯性血尿,川草鱼
男性病,雪菜胡萝卜
不孕不育,牛肉馅饼
夏季皮炎,香菇油菜包
坏疽性脓皮症,花生牛奶炖银耳
大疱性表皮松解,豆薯小米粥
双侧束支传导阻滞,双菇番茄黄瓜紫菜汤
软骨发育异常,丝瓜豆腐响螺汤
足外翻,紫菜芙蓉汤
假性尖锐湿疣,豆腐皮春卷
早孕,人参乌骨鸡
远端肾小管性酸中毒,鸡丝拌芹菜
肝结核,莲子红豆沙
小儿神经纤维瘤病,蘑菇鸡丝蛋花汤
缺血性肠绞痛,萝卜生菜汤
剥脱性皮炎型药疹,番茄菠萝汁
内分泌功能亢进,牛奶蛋花粥
浆膜下肌瘤,山药蛋黄粥
慢性萎缩性肢皮炎,苋菜鱼头豆腐汤
高原性心脏病,奶汁白菜条
电击伤所致脊髓病,猪肝泥
急性化脓性胃炎,大白菜饺
神经性皮炎,百合粳米鸡
肠易激综合征,菠菜豆腐汤
急性腰背部扭伤,小米素羹
回归热,大白菜饺
小儿膀胱-输尿管反流综合征,木瓜胡萝卜玉米粥
肾动脉瘤,苹果泥
先天性静脉畸形肢体肥大综合征,玉竹白菜
老年人急性左心衰竭,生菜拌蛋片
慢性肉芽肿病,荸荠粥
急性乳腺炎,芋头糕
溃疡性肠炎,黑芝麻果仁粥
光敏性皮炎,香蕉蜂蜜奶
胆囊良性肿瘤,山药葡萄粥
发育迟缓,牛奶大米饭
口腔单纯性疱疹,番茄生菜沙拉
颅骨巨细胞瘤,核桃鸡肉粥
鼓膜穿孔,芹菜金菇竹笋汤
胃肠道功能紊乱,茼蒿拌豆干
绦虫病,胡萝卜苹果汁
膀胱癌,萝卜粳米粥
颈椎后纵韧带骨化症,杂粮粥
气胀,薏米汤
毛囊脓疱病,冬菇椰菜豆腐粉丝汤
子宫破裂,香菇扒小白菜
咽部麻风,菠菜豆腐汤
无功能垂体腺瘤,鸡蛋芹菜炒饭
急性心功能不全,小米粉粥
过敏性急性小管间质性肾炎,赤小豆粥
子宫内膜息肉,牛奶菠菜粥
皮肤松垂,红枣黑豆炖鲤鱼
心动过速性心肌病,鲜蘑豆腐汤
亚急性甲状腺炎,鲜熘鸭肝
闭合性气胸,黑木耳芹菜粥
胸椎结核椎旁脓肿穿入胸腔,罗汉果金银菜柿饼汤
静脉血栓形成,豆薯小米粥
膝关节侧副韧带损伤,菜花泥子汤
直肠内套叠,煎芝麻地瓜饼
旅游者腹泻,胡萝卜牛肉水饺
脑膜炎,油菜丝炒面
隐睾,牛奶蛋花粥
密集恐惧症,白菜虾仁面汤
肛周湿疹,苦瓜荠菜瘦肉汤
唇癌,薏仁绿豆汤
先天性心包缺如或缺损,香菇鸡粒粥
先天性远端尺桡关节半脱位,冬菇排骨白菜墨鱼干汤
颈椎结核,荞麦粥
脊椎结核,花生杏仁粥
急性共同性斜视,牛奶玉米汤
鼻疽,芹菜炒鸡蛋
噪声病,赤小豆粥
感染性腹主动脉瘤,干丝黄豆芽汤
肠气囊肿,山药羊肉粥
小儿急性喉炎,萝卜糕
肢骨纹状肥大,雪菜肉末粥
热汗,清汤冬瓜
胃扭转,芝麻茄条
膀胱囊肿,鸭梨粥
神经源性膀胱,玉米粥
脂溢性脱发,酿豆腐
甲亢,白果芥蓝
少枝胶质细胞瘤及间变少枝胶质细胞瘤,油菜拌猪肝
拇外翻,鸡肉炒藕丝
间质性肺炎,土豆泥牛奶粥
感染性腹主动脉瘤,清盐菜花
药物免疫性血小板减少性紫癜,杞子南枣煲鸡蛋
小儿感冒,白菜粥
尿道结核,糙米排骨粥
潜水性内耳损伤,鸡蛋木耳粥
小儿苯丙酮尿症,牛奶玉米汤
股骨转子间骨折,小米鹌鹑汤
孤独症,拌豌豆苗
小儿先天性高氨血症,莴笋叶豆腐羹
房室交接区性期前收缩,鸡油菜心
梭状芽胞杆菌伤口感染,小白菜馅包子
中度脂肪肝,胡萝卜炒木耳
原发性硬化性胆管炎,鲜笋平鱼片
地高辛中毒,鲜菇小米粥
小儿全远端型肾小管酸中毒,鲜蘑菇豆腐汤
麻痹性斜视,紫菜芙蓉汤
肘外翻畸形,菠菜豆腐汤
病毒性脑膜炎,绿豆荷叶粥
小儿烫伤,猪肉青菜粥
老年人颈性眩晕,炝菜花
膜性肾小球肾炎,三丝白菜卷
肾上腺危象,牛奶玉米汤
米氏链球菌肺炎,牛奶菠菜粥
粒性白细胞缺乏性咽峡炎,蜜汁牛蒡
肺咳,香菇薏米饭
酸碱灼伤,冰糖绿豆苋菜粥
牛痘样水疱病,芝麻小米粥
脊椎化脓性骨髓炎,丝瓜豆腐瘦肉汤
创伤性口炎,什锦水果羹
胆肠内引流术后内疝,百合鸡蛋黄汤
急性颌骨骨髓炎,双菇番茄黄瓜紫菜汤
颅狭症,羊肉菠菜汤
大肠腺瘤,油菜海米豆腐
心气虚,红烧酿草鱼
颈椎骨折脱位,小麦粥
泌尿生殖系棘球蚴病,马齿苋薏苡仁瘦肉粥
骨关节炎,荞麦粥
小儿感染性心内膜炎,花生山药粥
肛管癌,蘑菇炒绿豆芽
心脾两虚,素炒菠菜
肠系膜上静脉血栓形成,草菇瘦肉汤
烫伤,百合熟地鸡蛋汤
小儿毛细支气管炎,小米素羹
创伤性膈疝,鸡蛋面
杀虫脒中毒,小米面蜂糕
宫颈炎,红烧猴头菇
尿道下裂,菠菜水饺
淋巴管瘤,菠菜豆腐汤
阴道嗜血杆菌性阴道炎,豆腐鲤鱼
α-贮存池病,当归粥
恙螨皮炎,鸡蛋面丝汤
气腹痛,山药薏米粥
小儿血栓性血小板减少性紫癜,双菇番茄黄瓜紫菜汤
先天性无转铁蛋白血症,香菇炒饭
粘连性肠梗阻,银耳薏米羹
麻风病,番茄黄瓜汁
老年人肺脓肿,鲜百合冬菇西兰花汤
毒瘾,山药粥
痧气,芹菜粥
膜性肾小球肾炎,海米油菜心
吞咽困难,花生杏仁粥
小儿大脑半球胶质瘤,萝卜豆腐汤
念珠菌性包皮龟头炎,八珍豆腐盒
睑外翻,肉末胡萝卜炒饭
热射病,水萝卜丝拌白菜
小儿颅脑损伤,鸡蛋酿苹果
尾神经丛痛,百合绿豆沙羹
先天性主动脉瓣窦动脉瘤破裂,浇汁苹果豆腐
颞下颌关节脱位,清炒荷兰豆
肠道血管畸形,黑芝麻山药羹
鱼鳞病,薏米豆腐羹
中老年男子部分性雄激素缺乏综合征,牡蛎墨鱼汤
结肠闭锁,番茄洋葱芹菜汁
动脉瘤样骨囊肿,空心菜排骨汤
脊髓压迫症,素炒西兰花
失眠抑郁,芹菜牛肉粥
尿黑酸尿与褐黄病,番茄青豆汤
胰腺结核,杂粮粥
盲肠扭转,牛奶菠菜粥
病毒性心肌炎,当归猪心汤
急性附睾炎,豌豆绿豆粥
急性膀胱炎,豆腐皮春卷
前纵韧带骨化症,白干炒菠菜
消化系癌伴血液病综合征,人参汤圆
帽状腱膜下脓肿,赤小豆粥
骶髂关节扭伤或半脱位,鲜百合冬菇西兰花汤
手足癣,白菜丸子汤
泛细支气管炎,五丝白菜卷
类鼻疽杆菌肺炎,芝麻拌白菜丁
颞下颌关节强直,雪菜牛肉粥
胃肠道癌,山药大枣粥
小肠瘘,芹菜牛肉粥
基质性角膜炎,百合鸡蛋黄汤
许莫氏结节,冬笋拌油菜
小儿糖原贮积病Ⅱ型,紫菜瘦肉粥
小儿醛固酮过多症,红豆花生粥
肠气囊肿,芹菜牛肉粥
肘内翻畸形,牛奶玉米汤
硬脑膜下血肿,白菜包子
肛门外伤,紫菜芙蓉汤
单纯性疱疹,炒芹菜豆腐干
肾囊肿,山药南瓜粥
闭锁综合征,人参猪肚
先天性肝内胆管囊状扩张症,木瓜胡萝卜玉米粥
跟骨骨骺骨软骨病,燕窝鸽蛋汤
血管病,炒胡萝卜
慢性单纯性咽炎,油菜叶拌豆腐丝
妇科炎症,菠菜豆腐汤
颅后窝室管膜瘤,黑芝麻山药羹
网状红斑萎缩性毛囊炎,卷心菜菠萝汁
急性中毒性脑炎,菠菜双蛋羹
糖原累积病,香菇薏米饭
肠道传染病,胡萝卜猪肝汤
阴虚发热,绿豆芽饺
砷及其化合物引起的皮肤病,桂圆莲子羹
血液病,花生山药粥
单次发作抑郁症,生鱼片粥
立氏立克次体斑疹热,大白菜饺
妊娠合并肝硬化,银耳莲子枸杞粥
成人型女性乳房肥大症,黄芪桂皮鲈鱼汤
结节病,杂粮粥
结核性胸膜炎,腰果西兰花
高泌乳素血症,白菜蛋花粥
变应性皮肤血管炎,蘑菇冬瓜汤
寄生虫性尿路感染,紫菜芙蓉汤
房室传导阻滞,冬笋香菇烧白菜
小儿低心排出量综合征,水萝卜丝拌白菜
脾-肝综合征,皮蛋瘦肉粥
桡骨干骨折,雪菜牛肉粥
小儿先天性肺囊肿,菊花藕羹
侧颅底肿瘤,萝卜生菜汤
营养不良,山药奶肉羹
脾功能亢进症,银耳瘦肉羹
间质性膀胱炎,绿豆麦片粥
巨细胞动脉炎和风湿性多肌痛,番茄菠萝汁
绒毛膜癌,卷心菜菠萝汁
肝肺综合症,肉粒萝卜干粥
布氏杆菌病,黄豆芽蘑菇汤
肝性脑病,熏鸡拌黄瓜
轮状病毒所致胃肠炎,鲜菇小米粥
小儿淋巴细胞间质性肺炎,胡萝卜菠菜汁
化脓性脑膜炎,薏苡仁绿豆粥
老年人流行性感冒,青菜饭
皮下裂头蚴病,山楂乌梅饮
原发性腹膜后肿瘤,豆腐烧扁豆
溃疡病出血,花豆腐生菜瘦肉汤
